event_id,participant_id,sample_id,light_kelvin,split
D1-P127-S1-L2700,P127,P127-S1,2700,train
D1-P127-S1-L4000,P127,P127-S1,4000,train
D1-P127-S1-L5500,P127,P127-S1,5500,train
D1-P128-S1-L2700,P128,P128-S1,2700,val
D1-P128-S1-L4000,P128,P128-S1,4000,val
D1-P128-S1-L5500,P128,P128-S1,5500,val
D1-P129-S1-L2700,P129,P129-S1,2700,train
D1-P129-S1-L4000,P129,P129-S1,4000,train
D1-P129-S1-L5500,P129,P129-S1,5500,train
D1-P130-S1-L2700,P130,P130-S1,2700,train
D1-P130-S1-L4000,P130,P130-S1,4000,train
D1-P130-S1-L5500,P130,P130-S1,5500,train
D1-P131-S1-L2700,P131,P131-S1,2700,train
D1-P131-S1-L4000,P131,P131-S1,4000,train
D1-P131-S1-L5500,P131,P131-S1,5500,train
D1-P132-S1-L2700,P132,P132-S1,2700,train
D1-P132-S1-L4000,P132,P132-S1,4000,train
D1-P132-S1-L5500,P132,P132-S1,5500,train
D1-P133-S1-L2700,P133,P133-S1,2700,val
D1-P133-S1-L4000,P133,P133-S1,4000,val
D1-P133-S1-L5500,P133,P133-S1,5500,val
D1-P134-S1-L2700,P134,P134-S1,2700,val
D1-P134-S1-L4000,P134,P134-S1,4000,val
D1-P134-S1-L5500,P134,P134-S1,5500,val
D1-P135-S1-L2700,P135,P135-S1,2700,train
D1-P135-S1-L4000,P135,P135-S1,4000,train
D1-P135-S1-L5500,P135,P135-S1,5500,train
D1-P136-S1-L2700,P136,P136-S1,2700,train
D1-P136-S1-L4000,P136,P136-S1,4000,train
D1-P136-S1-L5500,P136,P136-S1,5500,train
D1-P137-S1-L2700,P137,P137-S1,2700,train
D1-P137-S1-L4000,P137,P137-S1,4000,train
D1-P137-S1-L5500,P137,P137-S1,5500,train
D1-P138-S1-L2700,P138,P138-S1,2700,train
D1-P138-S1-L4000,P138,P138-S1,4000,train
D1-P138-S1-L5500,P138,P138-S1,5500,train
D1-P139-S1-L2700,P139,P139-S1,2700,train
D1-P139-S1-L4000,P139,P139-S1,4000,train
D1-P139-S1-L5500,P139,P139-S1,5500,train
D1-P140-S1-L2700,P140,P140-S1,2700,train
D1-P140-S1-L4000,P140,P140-S1,4000,train
D1-P140-S1-L5500,P140,P140-S1,5500,train
D1-P141-S1-L2700,P141,P141-S1,2700,val
D1-P141-S1-L4000,P141,P141-S1,4000,val
D1-P141-S1-L5500,P141,P141-S1,5500,val
D1-P142-S1-L2700,P142,P142-S1,2700,val
D1-P142-S1-L4000,P142,P142-S1,4000,val
D1-P142-S1-L5500,P142,P142-S1,5500,val
D1-P143-S1-L2700,P143,P143-S1,2700,val
D1-P143-S1-L4000,P143,P143-S1,4000,val
D1-P143-S1-L5500,P143,P143-S1,5500,val
D1-P144-S1-L2700,P144,P144-S1,2700,train
D1-P144-S1-L4000,P144,P144-S1,4000,train
D1-P144-S1-L5500,P144,P144-S1,5500,train
D1-P145-S1-L2700,P145,P145-S1,2700,train
D1-P145-S1-L4000,P145,P145-S1,4000,train
D1-P145-S1-L5500,P145,P145-S1,5500,train
D1-P146-S1-L2700,P146,P146-S1,2700,val
D1-P146-S1-L4000,P146,P146-S1,4000,val
D1-P146-S1-L5500,P146,P146-S1,5500,val
D1-P147-S1-L2700,P147,P147-S1,2700,train
D1-P147-S1-L4000,P147,P147-S1,4000,train
D1-P147-S1-L5500,P147,P147-S1,5500,train
D1-P148-S1-L2700,P148,P148-S1,2700,val
D1-P148-S1-L4000,P148,P148-S1,4000,val
D1-P148-S1-L5500,P148,P148-S1,5500,val
D1-P149-S1-L2700,P149,P149-S1,2700,train
D1-P149-S1-L4000,P149,P149-S1,4000,train
D1-P149-S1-L5500,P149,P149-S1,5500,train
D1-P150-S1-L2700,P150,P150-S1,2700,train
D1-P150-S1-L4000,P150,P150-S1,4000,train
D1-P150-S1-L5500,P150,P150-S1,5500,train
D1-P151-S1-L2700,P151,P151-S1,2700,val
D1-P151-S1-L4000,P151,P151-S1,4000,val
D1-P151-S1-L5500,P151,P151-S1,5500,val
D1-P152-S1-L2700,P152,P152-S1,2700,train
D1-P152-S1-L4000,P152,P152-S1,4000,train
D1-P152-S1-L5500,P152,P152-S1,5500,train
D1-P153-S1-L2700,P153,P153-S1,2700,train
D1-P153-S1-L4000,P153,P153-S1,4000,train
D1-P153-S1-L5500,P153,P153-S1,5500,train
D1-P154-S1-L2700,P154,P154-S1,2700,train
D1-P154-S1-L4000,P154,P154-S1,4000,train
D1-P154-S1-L5500,P154,P154-S1,5500,train
D1-P155-S1-L2700,P155,P155-S1,2700,train
D1-P155-S1-L4000,P155,P155-S1,4000,train
D1-P155-S1-L5500,P155,P155-S1,5500,train
D1-P156-S1-L2700,P156,P156-S1,2700,val
D1-P156-S1-L4000,P156,P156-S1,4000,val
D1-P156-S1-L5500,P156,P156-S1,5500,val
D1-P157-S1-L2700,P157,P157-S1,2700,train
D1-P157-S1-L4000,P157,P157-S1,4000,train
D1-P157-S1-L5500,P157,P157-S1,5500,train
D1-P158-S1-L2700,P158,P158-S1,2700,val
D1-P158-S1-L4000,P158,P158-S1,4000,val
D1-P158-S1-L5500,P158,P158-S1,5500,val
D1-P159-S1-L2700,P159,P159-S1,2700,train
D1-P159-S1-L4000,P159,P159-S1,4000,train
D1-P159-S1-L5500,P159,P159-S1,5500,train
D1-P160-S1-L2700,P160,P160-S1,2700,train
D1-P160-S1-L4000,P160,P160-S1,4000,train
D1-P160-S1-L5500,P160,P160-S1,5500,train
D1-P161-S1-L2700,P161,P161-S1,2700,train
D1-P161-S1-L4000,P161,P161-S1,4000,train
D1-P161-S1-L5500,P161,P161-S1,5500,train
D1-P162-S1-L2700,P162,P162-S1,2700,train
D1-P162-S1-L4000,P162,P162-S1,4000,train
D1-P162-S1-L5500,P162,P162-S1,5500,train
D1-P163-S1-L2700,P163,P163-S1,2700,train
D1-P163-S1-L4000,P163,P163-S1,4000,train
D1-P163-S1-L5500,P163,P163-S1,5500,train
D1-P164-S1-L2700,P164,P164-S1,2700,train
D1-P164-S1-L4000,P164,P164-S1,4000,train
D1-P164-S1-L5500,P164,P164-S1,5500,train
D1-P165-S1-L2700,P165,P165-S1,2700,train
D1-P165-S1-L4000,P165,P165-S1,4000,train
D1-P165-S1-L5500,P165,P165-S1,5500,train
D1-P166-S1-L2700,P166,P166-S1,2700,val
D1-P166-S1-L4000,P166,P166-S1,4000,val
D1-P166-S1-L5500,P166,P166-S1,5500,val
D1-P167-S1-L2700,P167,P167-S1,2700,train
D1-P167-S1-L4000,P167,P167-S1,4000,train
D1-P167-S1-L5500,P167,P167-S1,5500,train
D1-P168-S1-L2700,P168,P168-S1,2700,train
D1-P168-S1-L4000,P168,P168-S1,4000,train
D1-P168-S1-L5500,P168,P168-S1,5500,train
D1-P169-S1-L2700,P169,P169-S1,2700,train
D1-P169-S1-L4000,P169,P169-S1,4000,train
D1-P169-S1-L5500,P169,P169-S1,5500,train
D1-P170-S1-L2700,P170,P170-S1,2700,train
D1-P170-S1-L4000,P170,P170-S1,4000,train
D1-P170-S1-L5500,P170,P170-S1,5500,train
D1-P171-S1-L2700,P171,P171-S1,2700,train
D1-P171-S1-L4000,P171,P171-S1,4000,train
D1-P171-S1-L5500,P171,P171-S1,5500,train
D1-P172-S1-L2700,P172,P172-S1,2700,train
D1-P172-S1-L4000,P172,P172-S1,4000,train
D1-P172-S1-L5500,P172,P172-S1,5500,train
